topic,question
topic,Honey never spoils; edible honey has been found in ancient Egyptian tombs.
topic,Octopuses have three hearts and blue blood.
topic,A day on Venus is longer than a year on Venus.
topic,Bananas are berries; strawberries aren’t.
topic,The Eiffel Tower is about six inches taller in summer.
topic,Arctic reindeer can see ultraviolet light.
topic,The dot over a lowercase “i” is called a tittle.
topic,Human noses can detect about one trillion scents.
topic,Wombat droppings are cube-shaped.
topic,Some turtles can breathe through their butts.
topic,Saturn could float in water—it’s less dense than H₂O.
topic,A bolt of lightning is five times hotter than the sun’s surface.
topic,Koalas have fingerprints nearly identical to humans’.
topic,The word “alphabet” comes from Greek letters alpha + beta.
topic,Seahorses are the only animals where males give birth.
topic,A snail can sleep for up to three years.
topic,There are more stars in the universe than grains of sand on Earth.
topic,"The shortest war in history lasted 38 minutes (Anglo-Zanzibar, 1896)."
topic,"Your tongue print is unique, like a fingerprint."
topic,Cows have best friends and can become stressed when separated.
topic,The hashtag symbol is technically called an octothorpe.
topic,Some metals—like gallium—melt in your hand.
topic,A group of flamingos is called a “flamboyance.”
topic,"Earth’s core is as hot as the sun’s surface—about 5,400 °C."
topic,A single cloud can weigh over a million pounds.
topic,The inventor of the Pringles can is buried in one.
topic,Pineapples take about two years to grow one fruit.
topic,Butterflies taste with their feet.
topic,The first alarm clocks could ring only at 4 a.m.
topic,Scotland’s national animal is the unicorn.
topic,Space smells like seared steak to returning astronauts.
topic,Some spiders can fly by releasing silk and “ballooning” on the wind.
topic,The longest hiccuping spree lasted 68 years.
topic,Avocados never ripen on the tree—only after picking.
topic,“Rhythm” is the longest English word without a vowel.
topic,Hot water can freeze faster than cold (the Mpemba effect).
topic,A blue whale’s heartbeat can be heard two miles away underwater.
topic,Peanuts aren’t nuts; they’re legumes.
topic,The moon has moonquakes caused by tidal forces.
topic,You can fit all the planets between Earth and the moon with room to spare.
topic,Dragonflies can fly backward and hover like helicopters.
topic,The human stomach gets a new lining every few days.
topic,Iceland doesn’t have mosquitoes.
topic,"The word “emoji” comes from Japanese, not “emotion.”"
topic,Sloths can hold their breath longer than dolphins—up to 40 minutes.
topic,There’s a basketball court on the top floor of the U.S. Supreme Court.
topic,Rain contains vitamin B12 produced by soil microbes.
topic,"The shortest commercial flight is 90 seconds (Westray to Papa Westray, Scotland)."
topic,An octopus’s garden really exists—octopuses arrange rocks and shells decoratively.
topic,Humans share 60 % of their DNA with bananas.
topic,A group of owls is called a parliament.
topic,"The world's smallest reptile, discovered in 2021, is the size of a sunflower seed."
topic,Polar bears have black skin beneath their white fur.
topic,The longest English word typed with only the left hand is 'stewardesses'.
topic,Venus spins backward compared to most planets in our Solar System.
topic,Sharks existed before trees evolved on Earth.
topic,Raindrops aren’t teardrop‑shaped; they’re more like hamburger buns in flight.
topic,A bolt of lightning can create glass in sand called fulgurite.
topic,The fingerprints of koalas are so close to humans’ they can confuse crime scenes.
topic,A day on Mercury is 59 Earth days long.
topic,Giraffes have the same number of neck vertebrae as humans—just much longer.
topic,The smell of freshly‑cut grass is a plant distress signal.
topic,"Blue eyes originated from a single genetic mutation roughly 6,000–10,000 years ago."
topic,The hottest chili pepper is so strong it could trigger anaphylactic shock.
topic,"Some metals are so reactive they explode on contact with water (e.g., cesium)."
topic,Butterflies remember being caterpillars after metamorphosis.
topic,Bees can recognize human faces.
topic,The shortest complete sentence in English is “Go.”
topic,Jellyfish are 95 % water.
topic,"An adult human body has about 60,000 miles of blood vessels."
topic,Peacock feathers are actually brown; their colors come from microscopic structures.
topic,Cleopatra lived closer to the Moon landing than to the building of the Great Pyramid.
topic,There’s a species of spider that builds decoys of itself to distract predators.
topic,Octopuses taste with their arms.
topic,Astronaut suits cost about $12 million each.
topic,The inventor of the microwave oven got the idea from a melted chocolate bar.
topic,"Fireflies are beetles, not flies."
topic,Vending machines kill more people annually than sharks do.
topic,Some frogs can be frozen solid and still survive the winter.
topic,Pangolins are the only mammals completely covered in scales.
topic,The longest place name on Earth is 85 letters long (in New Zealand).
topic,Sea otters hold hands while sleeping so they don't drift apart.
topic,"Your heart beats about 100,000 times per day."
topic,Tomato ketchup was once sold as a medicine in the 1830s.
topic,A cloud can travel faster than a cheetah in high‑altitude winds.
topic,The tiny pocket in jeans was originally for pocket watches.
topic,Sunflowers can clean radioactive soil through phytoremediation.
topic,Dolphins have names; they recognize specific whistles like personal IDs.
topic,Mosquitoes are attracted to people who just ate bananas.
topic,Humans and giraffes have the same number of teeth—32.
topic,The inventor of Frisbee was turned into Frisbees after he died.
topic,A single strand of spaghetti is called a spaghetto.
topic,Some plants can “hear” running water and grow roots toward it.
topic,Bubble wrap was invented as wallpaper.
topic,Turritopsis dohrnii jellyfish can theoretically live forever by reverting to youth.
topic,High‑heeled shoes were originally worn by men in the 10th century.
topic,The coldest temperature recorded on Earth was −128.6 °F (−89.2 °C) in Antarctica.
topic,Bananas glow blue under UV light.
topic,Cats have fewer toes on their back paws (four) than front paws (five).
